f0,f1
a,5
Be,1
Is,1
No,2
Or,1
To,4
be,1
by,2
he,1
in,3
is,2
my,1
of,14
or,1
so,1
to,7
us,3
we,4
And,5
But,1
For,2
The,7
all,1
and,7
"be,",1
end,2
fly,1
his,1
hue,1
may,1
not,2
of?,1
off,1
say,1
sea,1
the,15
thy,1
who,2
you,1
'tis,1
Must,1
Than,1
That,3
Thus,1
When,2
With,2
all;,1
arms,1
bare,1
bear,2
cast,1
does,1
fair,1
from,1
give,1
have,2
heir,1
ills,1
know,1
long,1
lose,1
make,2
mind,1
name,1
now!,1
o'er,1
pale,1
pith,1
rub;,1
sins,1
take,1
that,3
this,2
thus,1
turn,1
what,1
with,1
after,1
"awry,",1
"bear,",1
bourn,1
"coil,",1
"come,",1
death,1
dread,1
flesh,1
great,1
grunt,1
law's,1
"life,",1
life;,1
"love,",1
makes,2
man's,1
merit,1
might,1
more;,1
pangs,1
proud,1
sleep,2
sweat,1
their,1
these,1
those,1
"time,",1
under,1
weary,1
whips,1
whose,1
"will,",1
would,2
arrows,1
"delay,",1
dreams,1
mortal,1
native,1
nobler,1
others,1
pause:,1
rather,1
scorns,1
shocks,1
sleep!,1
slings,1
spurns,1
suffer,1
"takes,",1
"wrong,",1
Whether,1
against,1
bodkin?,1
cowards,1
fardels,1
fortune,1
himself,1
"moment,",1
natural,1
"office,",1
orisons,1
patient,1
quietus,1
"regard,",1
respect,1
there's,2
wish'd.,1
Devoutly,1
calamity,1
"country,",1
currents,1
"death,--",1
despis'd,1
"die,--to",2
opposing,1
shuffled,1
sicklied,1
"sleep,--",1
sleep;--,1
thought;,1
thousand,1
unworthy,1
"be,--that",1
insolence,1
perchance,1
something,1
them?--To,1
"to,--'tis",1
traveller,1
"troubles,",1
conscience,1
"contumely,",1
"heartache,",1
outrageous,1
resolution,1
"dream:--ay,",1
enterprises,1
oppressor's,1
question:--,1
remember'd.,1
consummation,1
undiscover'd,1
action.--Soft,1
"Ophelia!--Nymph,",1
"returns,--puzzles",1
