CITATIONS,LATITUDE,LONGITUDE
19928,33.24489,134.1745
19986,27,102
19986,27,102
19986,26.5144,102.1441
19986,27,102
19986,27,102
19986,27,102
19986,27,102
19986,27,102
19986,27,102
19986,27,102
19986,27,102
19986,27,102
19986,27,102
19986,27,102
19986,27,102
19986,27,102
19986,27,102
19986,27,102
4594,64.03,-16.68
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
4743,-36,-70.5
20003,67.51,17.77
20003,67.45,17.6
20003,67.45,17.6
20003,67.45,17.6
20003,67.51,17.77
20003,67.45,17.6
20003,67.51,17.77
20003,67.51,17.77
20003,67.51,17.77
20003,67.51,17.77
20003,67.51,17.77
115,-37.05,-12.3
115,-37.05,-12.3
20029,32,36
20029,32,36
20029,32,36
20029,32,36
20030,31.8367,82.1067
1677,-20.9,14
1677,-20.9,14
1677,-20.9,14
1677,-20.9,14
1677,-20.9,14
1677,-20.9,14
1677,-21.53,14.1
1677,-21.53,14.1
1677,-21.53,14.1
1677,-21.53,14.1
1677,-21.53,14.1
1677,-24.2,30.5
1677,-24.2,30.5
1677,-24.2,30.5
1677,-24.2,30.5
1677,-24.2,30.5
1677,-24.2,30.5
1677,-24.2,30.5
1677,-24.2,30.5
1677,-24.2,30.5
1677,-24.2,30.5
1677,-24.2,30.5
1677,-24.2,30.5
1677,-24.2,30.5
1677,-24.2,30.5
1677,-24.2,30.5
1677,-24.2,30.5
1677,-24.2,30.5
20106,68,27
35914246,-22.33,-176.2
2495,-29.25,-177.87
20122,34.4069,47.725
20149,48.61893,-124.39348
39213126,39.95,139.73
3.92131E+11,39.95,139.73
3.92131E+11,39.95,139.73
3.92131E+11,39.95,139.73
39213124,39.95,139.73
22139,39.95,139.73
22139,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
6211,39.95,139.73
2745,19.03,72.92
2745,21.5,70.5
2745,21.5,70.5
20197,-12.2,49.27
4096,11.5,124.66
460,-29,-140.25
4096,11.5,124.66
20277,54.7167,-101.625
20277,54.7167,-101.625
20277,54.7167,-101.625
20277,54.7167,-101.625
20277,54.7167,-101.625
20277,54.7167,-101.625
20277,54.7167,-101.625
20277,54.7167,-101.625
20277,54.7167,-101.625
20277,54.7167,-101.625
20277,54.7167,-101.625
20277,54.7167,-101.625
20277,54.7167,-101.625
19747,34.7647,132.0755
4845,29,-13.6
4845,29,-13.6
4845,29,-13.6
4845,29,-13.6
274,19.4,-155.27
4845,29,-13.6
4845,29,-13.6
4845,29,-13.6
4845,29,-13.6
4845,29,-13.6
4845,29,-13.6
4845,29,-13.6
4845,29,-13.6
274,19.4,-155.27
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
274,19.4,-155.27
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
274,19.4,-155.27
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
274,19.4,-155.27
4845,28.53,-17.8
274,19.4,-155.27
4845,28.5,-16.3
4845,28.5,-16.3
4845,28.5,-16.3
4845,28.5,-16.3
4845,28.3,-16.6
4845,28.3,-16.6
4845,28.3,-16.6
4845,29,-13.6
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.53,-17.8
4845,28.5,-16.3
4845,28.5,-16.3
4845,28.5,-16.3
4845,28.5,-16.3
4845,28.5,-16.3
4845,28.3,-16.6
4845,28.3,-16.6
4845,28.3,-16.6
274,19.4,-155.27
4845,28.3,-16.6
4845,28.3,-16.6
20289,58,-77
20289,58,-77
20289,58,-77
20289,58,-77
20289,58,-77
20290,58,-77
20290,58,-77
20290,58,-77
20290,58,-77
20290,58,-77
20290,58,-77
20290,58,-77
20290,58,-77
20290,58,-77
20290,58,-77
20290,58,-77
20290,58,-77
20290,58,-77
20290,58,-77
20290,58,-77
20290,58,-77
17467,37,121
17467,37,121
17467,37,121
17467,37,121
17467,37,121
17467,37,121
18001,48.2,-80
17853,-25.88,28.93
20300,69.3112,-51.6094
20305,20,102
18566,53,101
18566,53,101
18566,53,101
18566,53,101
18566,53,101
18566,53,101
18566,53,101
18566,53,101
